[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0089s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0143s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0143s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0190s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0244s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0254s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0058s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0150s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0155s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0194s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0202s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0435s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0058s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0123s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0122s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0168s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0176s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0240s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0053s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0122s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0122s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0172s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0200s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0208s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0032s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0064s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0062s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0102s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0105s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0110s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0077s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0141s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0143s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0190s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0195s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0263s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0071s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0120s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0177s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0182s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0221s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0263s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0025s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0052s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0087s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0088s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0153s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0193s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0051s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0114s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0121s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0176s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0176s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0189s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0074s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0134s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0137s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0176s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0179s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0178s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0058s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0117s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0119s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0172s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0230s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0268s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0051s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0125s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0128s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0191s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0203s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0260s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0103s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0151s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0151s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0192s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0225s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0272s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0030s
